	Dati di sintesi della produzione dei rifiuti speciali - 2019 (ISPRA);
	Area geografica;RS NP (t);RS P (t);RS codice CER ND (t);Totale (t);
04 - Rifiuti della lavorazione di pelli e pellicce e dell'industria tessile;         337.728;         243.121;          62.694;         643.543;
05 - Rifiuti della raffinazione del petrolio, purificazione del gas naturale e trattamento pirolitico del carbone;          26.902;          17.033;          56.861;         100.796;
06 - Rifiuti dei processi chimici inorganici;         323.353;         477.982;          58.267;         859.602;
07 - Rifiuti dei processi chimici organici;       1.340.075;         129.207;          98.134;       1.567.416;
08 - Rifiuti della produzione, formulazione, fornitura ed uso (PFFU) di rivestimenti (pitture, vernici e smalti vetrati), adesivi, sigillanti e inchiostri per stampa;         802.281;          83.052;          41.916;         927.249;
09 - Rifiuti dell'industria fotografica;           9.750;           1.704;           1.882;          13.336;
10 - Rifiuti provenienti da processi termici;       4.965.343;         829.523;       3.583.596;       9.378.462;
11 - Rifiuti prodotti dal trattamento chimico superficiale e dal rivestimento di metalli ed altri materiali. Idrometallurgia non ferrosa;         362.824;          77.672;         103.830;         544.326;
12 - Rifiuti prodotti dalla lavorazione e dal trattamento fisico e meccanico superficiale di metalli e plastica;       4.613.828;         423.077;         473.144;       5.510.049;
13 - Oli esauriti e residui di combustibili liquidi (tranne oli commestibili, voci 05 e 12);         684.083;         125.201;         160.739;         970.023;
14 - Solventi organici, refrigeranti e propellenti di scarto (tranne le voci 07 e 08);          43.497;           6.132;           2.800;          52.429;
15 - Rifiuti di imballaggio. Assorbenti, stracci, materiali filtranti e indumenti protettivi non specificati altrimenti;       2.993.801;         680.299;         602.761;       4.276.861;
16 - Rifiuti non specificati altrimenti nell'elenco;       3.635.752;       1.243.231;       3.321.768;       8.200.751;
17 - Rifiuti delle attivita' di costruzione e demolizione (compreso il terreno proveniente da siti contaminati);      39.958.433;      12.241.987;      16.923.411;      69.123.831;
18 - Rifiuti prodotti dal settore sanitario e veterinario o da attivita' di ricerca collegate (tranne i rifiuti di cucina e di ristorazione che non derivino direttamente da cure sanitarie);          98.894;          46.877;          54.185;         199.956;
19 - Rifiuti prodotti da impianti di gestione dei rifiuti, impianti di trattamento delle acque reflue fuori sito, nonche' dalla potabilizzazione dell'acqua e dalla sua preparazione per uso industriale;      22.815.746;       8.233.590;      11.180.390;      42.229.726;
20 - Rifiuti urbani (rifiuti domestici e assimilabili prodotti da attivita' commerciali e industriali nonche' dalle istituzioni) inclusi i rifiuti della raccolta differenziata;       1.573.989;         451.246;         464.597;       2.489.832;
	Totale;      88.646.789;      26.996.238;      38.331.297;     153.974.324

	Produzione dei rifiuti speciali non pericolosi per Capitolo dell'Elenco Europeo dei Rifiuti - 2019 (ISPRA);
		Capitolo dell'Elenco;Nord (t);Centro (t);Sud (t);Italia (t)
				ND - Attivita' ISTAT non determinata;           3.936;             120;           1.040;           5.096;
01 - Rifiuti derivanti da prospezione, estrazione da miniera o cava, nonche' dal trattamento fisico o chimico di minerali;         839.840;         705.506;          99.672;       1.645.018;
02 - Rifiuti prodotti da agricoltura, orticoltura, acquacoltura, selvicoltura, caccia e pesca, trattamento e preparazione di alimenti;       1.814.903;         427.964;         872.316;       3.115.183;
